"","bullet1","bullet2","cmps.max","cmps.maxbar","cmps.max.m","cmps.maxbar.m","type_truth","type"
"1","Barrel 1 Bullet 1","Barrel 1 Bullet 2",19,14.1666666666667,19,14.1666666666667,"KM","KM"
"2","Barrel 1 Bullet 1","Barrel 10 Bullet 1",3,2,3,2,"KNM","KNM"
"3","Barrel 1 Bullet 1","Barrel 10 Bullet 2",4,2.5,4,2.6,"KNM","KNM"
"4","Barrel 1 Bullet 1","Barrel 2 Bullet 1",4,2.66666666666667,4,2.66666666666667,"KNM","KNM"
"5","Barrel 1 Bullet 1","Barrel 2 Bullet 2",5,3.16666666666667,5,3,"KNM","KNM"
"6","Barrel 1 Bullet 1","Barrel 3 Bullet 1",3,2.16666666666667,3,2.5,"KNM","KNM"
"7","Barrel 1 Bullet 1","Barrel 3 Bullet 2",4,2,4,2,"KNM","KNM"
"8","Barrel 1 Bullet 1","Barrel 4 Bullet 1",4,2.66666666666667,4,2.66666666666667,"KNM","KNM"
"9","Barrel 1 Bullet 1","Barrel 4 Bullet 2",4,2.16666666666667,4,2.16666666666667,"KNM","KNM"
"10","Barrel 1 Bullet 1","Barrel 5 Bullet 1",5,2.5,5,2.5,"KNM","KNM"
"11","Barrel 1 Bullet 1","Barrel 5 Bullet 2",4,2.33333333333333,4,2.33333333333333,"KNM","KNM"
"12","Barrel 1 Bullet 1","Barrel 6 Bullet 1",3,1.83333333333333,3,1.83333333333333,"KNM","KNM"
"13","Barrel 1 Bullet 1","Barrel 6 Bullet 2",3,2,3,2,"KNM","KNM"
"14","Barrel 1 Bullet 1","Barrel 7 Bullet 1",5,2.16666666666667,5,2.16666666666667,"KNM","KNM"
"15","Barrel 1 Bullet 1","Barrel 7 Bullet 2",4,2.33333333333333,4,2.33333333333333,"KNM","KNM"
"16","Barrel 1 Bullet 1","Barrel 8 Bullet 1",3,1.83333333333333,3,2,"KNM","KNM"
"17","Barrel 1 Bullet 1","Barrel 8 Bullet 2",3,2,3,2,"KNM","KNM"
"18","Barrel 1 Bullet 1","Barrel 9 Bullet 1",4,2.16666666666667,4,2.16666666666667,"KNM","KNM"
"19","Barrel 1 Bullet 1","Barrel 9 Bullet 2",4,2.66666666666667,4,2.66666666666667,"KNM","KNM"
"20","Barrel 1 Bullet 1","Unknowns Bullet 'E'",4,2.33333333333333,4,2.4,"KNM","UKN"
"21","Barrel 1 Bullet 1","Unknowns Bullet 'F'",4,2.16666666666667,4,2.16666666666667,"KNM","UKN"
"22","Barrel 1 Bullet 1","Unknowns Bullet 'G'",3,2.16666666666667,3,2.16666666666667,"KNM","UKN"
"23","Barrel 1 Bullet 1","Unknowns Bullet 'H'",3,1.83333333333333,3,1.83333333333333,"KNM","UKN"
"24","Barrel 1 Bullet 1","Unknowns Bullet 'I'",3,2.16666666666667,3,2,"KNM","UKN"
"25","Barrel 1 Bullet 1","Unknowns Bullet 'J'",4,2.16666666666667,4,2.16666666666667,"KNM","UKN"
"26","Barrel 1 Bullet 1","Unknowns Bullet 'K'",16,11.8333333333333,16,11.8333333333333,"KM","UKN"
"27","Barrel 1 Bullet 1","Unknowns Bullet 'L'",4,2.33333333333333,4,2.33333333333333,"KNM","UKN"
"28","Barrel 1 Bullet 1","Unknowns Bullet 'O'",3,2.33333333333333,3,2.33333333333333,"KNM","UKN"
"29","Barrel 1 Bullet 1","Unknowns Bullet 'P'",3,1.83333333333333,3,1.83333333333333,"KNM","UKN"
"30","Barrel 1 Bullet 1","Unknowns Bullet 'S'",4,2.16666666666667,4,2.16666666666667,"KNM","UKN"
"31","Barrel 1 Bullet 1","Unknowns Bullet 'T'",4,2,4,2,"KNM","UKN"
"32","Barrel 1 Bullet 1","Unknowns Bullet 'U'",4,2,4,2,"KNM","UKN"
"33","Barrel 1 Bullet 1","Unknowns Bullet 'X'",4,1.83333333333333,4,1.83333333333333,"KNM","UKN"
"34","Barrel 1 Bullet 1","Unknowns Bullet 'Y'",4,2.16666666666667,4,2.16666666666667,"KNM","UKN"
"35","Barrel 1 Bullet 2","Barrel 10 Bullet 1",3,2,3,2,"KNM","KNM"
"36","Barrel 1 Bullet 2","Barrel 10 Bullet 2",3,2,3,2,"KNM","KNM"
"37","Barrel 1 Bullet 2","Barrel 2 Bullet 1",3,2.16666666666667,3,2.16666666666667,"KNM","KNM"
"38","Barrel 1 Bullet 2","Barrel 2 Bullet 2",5,2.5,3,2,"KNM","KNM"
"39","Barrel 1 Bullet 2","Barrel 3 Bullet 1",3,2,3,2.25,"KNM","KNM"
"40","Barrel 1 Bullet 2","Barrel 3 Bullet 2",3,1.83333333333333,3,1.83333333333333,"KNM","KNM"
"41","Barrel 1 Bullet 2","Barrel 4 Bullet 1",4,2.33333333333333,4,2.33333333333333,"KNM","KNM"
"42","Barrel 1 Bullet 2","Barrel 4 Bullet 2",4,2.83333333333333,4,2.83333333333333,"KNM","KNM"
"43","Barrel 1 Bullet 2","Barrel 5 Bullet 1",4,2,4,2,"KNM","KNM"
"44","Barrel 1 Bullet 2","Barrel 5 Bullet 2",5,2.5,5,2.5,"KNM","KNM"
"45","Barrel 1 Bullet 2","Barrel 6 Bullet 1",5,2.33333333333333,5,2.33333333333333,"KNM","KNM"
"46","Barrel 1 Bullet 2","Barrel 6 Bullet 2",3,2,3,2,"KNM","KNM"
"47","Barrel 1 Bullet 2","Barrel 7 Bullet 1",3,2.16666666666667,3,2.16666666666667,"KNM","KNM"
"48","Barrel 1 Bullet 2","Barrel 7 Bullet 2",3,2,3,2,"KNM","KNM"
"49","Barrel 1 Bullet 2","Barrel 8 Bullet 1",3,2.16666666666667,3,2.4,"KNM","KNM"
"50","Barrel 1 Bullet 2","Barrel 8 Bullet 2",5,2.83333333333333,5,2.83333333333333,"KNM","KNM"
"51","Barrel 1 Bullet 2","Barrel 9 Bullet 1",3,2,3,2,"KNM","KNM"
"52","Barrel 1 Bullet 2","Barrel 9 Bullet 2",4,2.5,4,2.5,"KNM","KNM"
"53","Barrel 1 Bullet 2","Unknowns Bullet 'E'",3,2,3,2,"KNM","UKN"
"54","Barrel 1 Bullet 2","Unknowns Bullet 'F'",4,2.33333333333333,4,2.33333333333333,"KNM","UKN"
"55","Barrel 1 Bullet 2","Unknowns Bullet 'G'",4,2,4,2,"KNM","UKN"
"56","Barrel 1 Bullet 2","Unknowns Bullet 'H'",3,1.83333333333333,3,1.83333333333333,"KNM","UKN"
"57","Barrel 1 Bullet 2","Unknowns Bullet 'I'",3,2,3,2,"KNM","UKN"
"58","Barrel 1 Bullet 2","Unknowns Bullet 'J'",3,2.5,3,2.5,"KNM","UKN"
"59","Barrel 1 Bullet 2","Unknowns Bullet 'K'",15,13.1666666666667,15,13.1666666666667,"KM","UKN"
"60","Barrel 1 Bullet 2","Unknowns Bullet 'L'",3,2,3,2,"KNM","UKN"
"61","Barrel 1 Bullet 2","Unknowns Bullet 'O'",3,2,3,2,"KNM","UKN"
"62","Barrel 1 Bullet 2","Unknowns Bullet 'P'",4,2,4,2,"KNM","UKN"
"63","Barrel 1 Bullet 2","Unknowns Bullet 'S'",3,1.83333333333333,3,1.83333333333333,"KNM","UKN"
"64","Barrel 1 Bullet 2","Unknowns Bullet 'T'",4,2.33333333333333,4,2.33333333333333,"KNM","UKN"
"65","Barrel 1 Bullet 2","Unknowns Bullet 'U'",3,2,3,2,"KNM","UKN"
"66","Barrel 1 Bullet 2","Unknowns Bullet 'X'",3,2,3,2,"KNM","UKN"
"67","Barrel 1 Bullet 2","Unknowns Bullet 'Y'",5,2.66666666666667,5,2.66666666666667,"KNM","UKN"
"68","Barrel 10 Bullet 1","Barrel 10 Bullet 2",20,10.5,20,12,"KM","KM"
"69","Barrel 10 Bullet 1","Barrel 2 Bullet 1",3,2,3,2,"KNM","KNM"
"70","Barrel 10 Bullet 1","Barrel 2 Bullet 2",5,2.16666666666667,5,2.2,"KNM","KNM"
"71","Barrel 10 Bullet 1","Barrel 3 Bullet 1",3,2,3,2,"KNM","KNM"
"72","Barrel 10 Bullet 1","Barrel 3 Bullet 2",4,2.5,4,2.5,"KNM","KNM"
"73","Barrel 10 Bullet 1","Barrel 4 Bullet 1",3,2,3,2,"KNM","KNM"
"74","Barrel 10 Bullet 1","Barrel 4 Bullet 2",3,2.5,3,2.5,"KNM","KNM"
"75","Barrel 10 Bullet 1","Barrel 5 Bullet 1",4,2,4,2,"KNM","KNM"
"76","Barrel 10 Bullet 1","Barrel 5 Bullet 2",4,2.16666666666667,4,2.16666666666667,"KNM","KNM"
"77","Barrel 10 Bullet 1","Barrel 6 Bullet 1",3,1.83333333333333,3,1.83333333333333,"KNM","KNM"
"78","Barrel 10 Bullet 1","Barrel 6 Bullet 2",3,2,3,2,"KNM","KNM"
"79","Barrel 10 Bullet 1","Barrel 7 Bullet 1",5,2.16666666666667,5,2.16666666666667,"KNM","KNM"
"80","Barrel 10 Bullet 1","Barrel 7 Bullet 2",6,2.33333333333333,6,2.33333333333333,"KNM","KNM"
"81","Barrel 10 Bullet 1","Barrel 8 Bullet 1",4,2.16666666666667,4,2.2,"KNM","KNM"
"82","Barrel 10 Bullet 1","Barrel 8 Bullet 2",4,2.5,4,2.5,"KNM","KNM"
"83","Barrel 10 Bullet 1","Barrel 9 Bullet 1",3,2.33333333333333,3,2.33333333333333,"KNM","KNM"
"84","Barrel 10 Bullet 1","Barrel 9 Bullet 2",3,2.16666666666667,3,2.16666666666667,"KNM","KNM"
"85","Barrel 10 Bullet 1","Unknowns Bullet 'E'",4,2,4,2.2,"KNM","UKN"
"86","Barrel 10 Bullet 1","Unknowns Bullet 'F'",4,2,4,2,"KNM","UKN"
"87","Barrel 10 Bullet 1","Unknowns Bullet 'G'",3,2,3,2,"KNM","UKN"
"88","Barrel 10 Bullet 1","Unknowns Bullet 'H'",3,2.33333333333333,3,2.33333333333333,"KNM","UKN"
"89","Barrel 10 Bullet 1","Unknowns Bullet 'I'",4,2.33333333333333,4,2.6,"KNM","UKN"
"90","Barrel 10 Bullet 1","Unknowns Bullet 'J'",3,2,3,2,"KNM","UKN"
"91","Barrel 10 Bullet 1","Unknowns Bullet 'K'",4,2.16666666666667,4,2.16666666666667,"KNM","UKN"
"92","Barrel 10 Bullet 1","Unknowns Bullet 'L'",4,2.5,4,2.5,"KNM","UKN"
"93","Barrel 10 Bullet 1","Unknowns Bullet 'O'",4,2.16666666666667,4,2.16666666666667,"KNM","UKN"
"94","Barrel 10 Bullet 1","Unknowns Bullet 'P'",5,2,5,2,"KNM","UKN"
"95","Barrel 10 Bullet 1","Unknowns Bullet 'S'",12,9.33333333333333,12,9.33333333333333,"KM","UKN"
"96","Barrel 10 Bullet 1","Unknowns Bullet 'T'",5,2.16666666666667,5,2.16666666666667,"KNM","UKN"
"97","Barrel 10 Bullet 1","Unknowns Bullet 'U'",4,2,4,2,"KNM","UKN"
"98","Barrel 10 Bullet 1","Unknowns Bullet 'X'",3,1.83333333333333,3,1.83333333333333,"KNM","UKN"
"99","Barrel 10 Bullet 1","Unknowns Bullet 'Y'",3,2.16666666666667,3,2.16666666666667,"KNM","UKN"
"100","Barrel 10 Bullet 2","Barrel 2 Bullet 1",3,2.16666666666667,3,2.2,"KNM","KNM"
"101","Barrel 10 Bullet 2","Barrel 2 Bullet 2",3,1.83333333333333,3,1.75,"KNM","KNM"
"102","Barrel 10 Bullet 2","Barrel 3 Bullet 1",3,1.83333333333333,3,2,"KNM","KNM"
"103","Barrel 10 Bullet 2","Barrel 3 Bullet 2",4,2,4,2.2,"KNM","KNM"
"104","Barrel 10 Bullet 2","Barrel 4 Bullet 1",4,2,3,2,"KNM","KNM"
"105","Barrel 10 Bullet 2","Barrel 4 Bullet 2",3,2,3,1.8,"KNM","KNM"
"106","Barrel 10 Bullet 2","Barrel 5 Bullet 1",3,2.33333333333333,3,2.2,"KNM","KNM"
"107","Barrel 10 Bullet 2","Barrel 5 Bullet 2",4,2.5,4,2.4,"KNM","KNM"
"108","Barrel 10 Bullet 2","Barrel 6 Bullet 1",3,2.16666666666667,3,2,"KNM","KNM"
"109","Barrel 10 Bullet 2","Barrel 6 Bullet 2",4,2.16666666666667,3,2,"KNM","KNM"
"110","Barrel 10 Bullet 2","Barrel 7 Bullet 1",4,2.16666666666667,4,2.2,"KNM","KNM"
"111","Barrel 10 Bullet 2","Barrel 7 Bullet 2",4,2.16666666666667,4,2.2,"KNM","KNM"
"112","Barrel 10 Bullet 2","Barrel 8 Bullet 1",3,2,3,2.25,"KNM","KNM"
"113","Barrel 10 Bullet 2","Barrel 8 Bullet 2",4,2.33333333333333,4,2.4,"KNM","KNM"
"114","Barrel 10 Bullet 2","Barrel 9 Bullet 1",4,2.33333333333333,4,2.4,"KNM","KNM"
"115","Barrel 10 Bullet 2","Barrel 9 Bullet 2",3,1.83333333333333,3,1.8,"KNM","KNM"
"116","Barrel 10 Bullet 2","Unknowns Bullet 'E'",4,2.16666666666667,3,2,"KNM","UKN"
"117","Barrel 10 Bullet 2","Unknowns Bullet 'F'",4,2.16666666666667,4,2.2,"KNM","UKN"
"118","Barrel 10 Bullet 2","Unknowns Bullet 'G'",4,2.16666666666667,3,2.2,"KNM","UKN"
"119","Barrel 10 Bullet 2","Unknowns Bullet 'H'",3,2,3,1.8,"KNM","UKN"
"120","Barrel 10 Bullet 2","Unknowns Bullet 'I'",3,2.16666666666667,3,2.25,"KNM","UKN"
"121","Barrel 10 Bullet 2","Unknowns Bullet 'J'",3,2,3,2.2,"KNM","UKN"
"122","Barrel 10 Bullet 2","Unknowns Bullet 'K'",3,2.5,3,2.6,"KNM","UKN"
"123","Barrel 10 Bullet 2","Unknowns Bullet 'L'",3,2.16666666666667,3,2.2,"KNM","UKN"
"124","Barrel 10 Bullet 2","Unknowns Bullet 'O'",3,2.5,3,2.4,"KNM","UKN"
"125","Barrel 10 Bullet 2","Unknowns Bullet 'P'",3,2.33333333333333,3,2.6,"KNM","UKN"
"126","Barrel 10 Bullet 2","Unknowns Bullet 'S'",14,7.66666666666667,14,8.8,"KM","UKN"
"127","Barrel 10 Bullet 2","Unknowns Bullet 'T'",3,2.33333333333333,3,2.2,"KNM","UKN"
"128","Barrel 10 Bullet 2","Unknowns Bullet 'U'",3,2.16666666666667,3,2,"KNM","UKN"
"129","Barrel 10 Bullet 2","Unknowns Bullet 'X'",4,2.33333333333333,4,2.4,"KNM","UKN"
"130","Barrel 10 Bullet 2","Unknowns Bullet 'Y'",4,2.16666666666667,4,2.2,"KNM","UKN"
"131","Barrel 2 Bullet 1","Barrel 2 Bullet 2",21,14.6666666666667,21,16,"KM","KM"
"132","Barrel 2 Bullet 1","Barrel 3 Bullet 1",3,2.16666666666667,3,2.25,"KNM","KNM"
"133","Barrel 2 Bullet 1","Barrel 3 Bullet 2",5,2.33333333333333,5,2.33333333333333,"KNM","KNM"
"134","Barrel 2 Bullet 1","Barrel 4 Bullet 1",4,2.66666666666667,4,2.66666666666667,"KNM","KNM"
"135","Barrel 2 Bullet 1","Barrel 4 Bullet 2",4,2.16666666666667,4,2.16666666666667,"KNM","KNM"
"136","Barrel 2 Bullet 1","Barrel 5 Bullet 1",3,2,3,2,"KNM","KNM"
"137","Barrel 2 Bullet 1","Barrel 5 Bullet 2",3,2,3,2,"KNM","KNM"
"138","Barrel 2 Bullet 1","Barrel 6 Bullet 1",4,2.5,4,2.5,"KNM","KNM"
"139","Barrel 2 Bullet 1","Barrel 6 Bullet 2",3,2,3,2,"KNM","KNM"
"140","Barrel 2 Bullet 1","Barrel 7 Bullet 1",2,1.83333333333333,2,1.83333333333333,"KNM","KNM"
"141","Barrel 2 Bullet 1","Barrel 7 Bullet 2",3,1.83333333333333,3,1.83333333333333,"KNM","KNM"
"142","Barrel 2 Bullet 1","Barrel 8 Bullet 1",4,2.33333333333333,4,2.4,"KNM","KNM"
"143","Barrel 2 Bullet 1","Barrel 8 Bullet 2",3,2.16666666666667,3,2.16666666666667,"KNM","KNM"
"144","Barrel 2 Bullet 1","Barrel 9 Bullet 1",3,2.16666666666667,3,2.16666666666667,"KNM","KNM"
"145","Barrel 2 Bullet 1","Barrel 9 Bullet 2",5,2.16666666666667,5,2.16666666666667,"KNM","KNM"
"146","Barrel 2 Bullet 1","Unknowns Bullet 'E'",3,1.83333333333333,3,1.8,"KNM","UKN"
"147","Barrel 2 Bullet 1","Unknowns Bullet 'F'",4,2,4,2,"KNM","UKN"
"148","Barrel 2 Bullet 1","Unknowns Bullet 'G'",3,2,3,2,"KNM","UKN"
"149","Barrel 2 Bullet 1","Unknowns Bullet 'H'",3,2,3,2,"KNM","UKN"
"150","Barrel 2 Bullet 1","Unknowns Bullet 'I'",3,2.16666666666667,3,2.2,"KNM","UKN"
"151","Barrel 2 Bullet 1","Unknowns Bullet 'J'",3,2.16666666666667,3,2.16666666666667,"KNM","UKN"
"152","Barrel 2 Bullet 1","Unknowns Bullet 'K'",4,2.66666666666667,4,2.66666666666667,"KNM","UKN"
"153","Barrel 2 Bullet 1","Unknowns Bullet 'L'",4,2.33333333333333,4,2.33333333333333,"KNM","UKN"
"154","Barrel 2 Bullet 1","Unknowns Bullet 'O'",19,14.5,19,14.5,"KM","UKN"
"155","Barrel 2 Bullet 1","Unknowns Bullet 'P'",4,2.16666666666667,4,2.16666666666667,"KNM","UKN"
"156","Barrel 2 Bullet 1","Unknowns Bullet 'S'",3,1.83333333333333,3,1.83333333333333,"KNM","UKN"
"157","Barrel 2 Bullet 1","Unknowns Bullet 'T'",4,2.16666666666667,4,2.16666666666667,"KNM","UKN"
"158","Barrel 2 Bullet 1","Unknowns Bullet 'U'",3,2.33333333333333,3,2.33333333333333,"KNM","UKN"
"159","Barrel 2 Bullet 1","Unknowns Bullet 'X'",4,1.83333333333333,4,1.83333333333333,"KNM","UKN"
"160","Barrel 2 Bullet 1","Unknowns Bullet 'Y'",3,2,3,2,"KNM","UKN"
